group,draft_len,n_samples,accuracy,mean_accept_len,overall_accept_rate,tokens_per_forward,theoretical_speedup,tokens_per_sec,verify_steps,control_steps
dl1,1,2,0.0,1.5079,0.5079,0.754,0.754,2.22,63,0
dl2,2,2,0.0,1.4262,0.2167,0.719,0.719,2.06,60,1
